WY_id_1,07-23,07-24,07-25,07-26,07-27,07-28,07-29,07-30,07-31,08-01,average,chg from avg,milking days,ultra,bdate (exp),*,2025-08-01,AM,PM,**,WY_id_2,litres,avg,pct chg from avg,days milking,u_read,expected bdate,group
284,14.0,14.6,13.0,13.0,14.4,15.0,14.6,14.0,14.0,13.6,14.0,-0.0285714285714285,201.0,ok,2026-01-08,,283,11.4,7.0,,239,12.0,10.6,0.1320754716981131,695.0,ok,2025-10-13,B
286,8.6,10.0,8.4,8.4,9.6,6.6,9.0,8.0,9.4,10.4,8.8,0.1818181818181816,194.0,nan,nan,,284,7.6,6.0,,277,10.4,10.5,-0.0095238095238094,243.0,nan,nan,B
287,15.0,15.4,17.0,10.0,18.0,13.6,15.0,13.6,17.4,17.4,15.2,0.144736842105263,192.0,nan,nan,,286,5.4,5.0,,261,9.4,10.5,-0.1047619047619047,372.0,nan,nan,B
288,15.4,16.6,15.0,15.0,15.0,15.4,15.0,15.0,15.6,12.6,15.1,-0.1655629139072847,184.0,x,nan,,287,11.0,6.4,,237,7.0,9.6,-0.2708333333333332,242.0,ok,2025-10-13,A
290,8.4,7.199999999999999,7.0,7.0,7.0,8.0,8.0,8.0,6.4,7.0,7.4,-0.054054054054054,180.0,nan,nan,,288,8.0,4.6,,275,9.0,9.4,-0.0425531914893617,253.0,nan,nan,B
291,12.0,13.6,14.0,15.4,15.0,16.4,16.0,15.0,16.0,15.0,14.8,0.0135135135135133,172.0,nan,nan,,290,4.0,3.0,,286,10.4,8.8,0.1818181818181816,194.0,nan,nan,B
292,15.0,12.0,14.4,13.4,15.0,15.2,15.0,14.4,15.0,14.0,14.3,-0.020979020979021,167.0,nan,nan,,291,9.0,6.0,,235,7.0,7.8,-0.1025641025641025,326.0,ok,2025-09-05,B
293,15.4,15.8,16.0,15.8,17.0,17.0,16.4,18.0,17.0,16.4,16.5,-0.0060606060606061,153.0,nan,nan,,292,9.0,5.0,,290,7.0,7.4,-0.054054054054054,180.0,nan,nan,B
294,11.0,9.6,11.0,12.0,11.0,11.0,12.0,12.4,10.6,10.0,11.1,-0.099099099099099,94.0,nan,nan,,293,10.4,6.0,,278,6.0,7.2,-0.1666666666666667,238.0,ok,2025-10-24,B
295,22.8,22.0,24.0,23.0,23.4,22.0,22.0,22.6,19.0,20.4,22.1,-0.0769230769230771,32.0,nan,nan,,294,6.0,4.0,,267,7.0,6.8,0.0294117647058824,283.0,ok,2025-09-09,B
299,nan,nan,nan,nan,nan,nan,nan,8.0,14.0,14.0,12.0,0.1666666666666667,2.0,nan,nan,,295,12.4,8.0,,247,3.0,3.8,-0.2105263157894736,300.0,x,nan,B
avg,13.576190476190478,13.180952380952382,13.433333333333334,13.24761904761905,13.581666666666663,13.666666666666666,13.565238095238096,13.10232558139535,13.297674418604652,13.139534883720929,13.355813953488374,-0.0161936270242037,nan,nan,nan,,299,8.0,6.0,
total,570.2,553.6,564.2,556.4000000000001,570.43,574.0,569.74,563.4000000000001,571.8000000000001,564.9999999999999,574.3000000000001,-0.0161936270242036,nan,nan,nan,,
